parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_childcare_center,dist_to_nosmoking_zone,dist_to_overpass,dist_to_school,dist_to_tunnel,complaint_count,building_use,target_label
303151,1117000000000002308,원효로1가 108-68도,도,국유지,273.8991617709398,126.97016951179388,37.5412950707635,72.02395627,107.47283042,89.43228593,299.79762859,1675.1389074,133,미지정,1
303152,1117000000000002309,원효로1가 108-62도,도,국유지,398.6015573386103,126.97008788460575,37.541639226375466,65.59381935,102.53851218,86.52048714,338.36490587,1646.32482176,133,미지정,1
303153,1117000000000002310,원효로1가 47-33도,도,국유지,72.48725343123078,126.96839791565178,37.540585304465495,130.20406668,118.59021218,264.70118771,280.08441053,1825.73163469,133,미지정,1
303154,1117000000000002311,원효로1가 47-32도,도,국유지,72.1389919295907,126.96831460801775,37.54064862927459,130.27993832,127.20629612,268.30071391,290.16030515,1824.04189554,133,미지정,1
303155,1117000000000002312,원효로1가 48-20도,도,국유지,51.62378987297416,126.968175188264,37.54073921353474,133.1899548,141.61955658,275.68819563,305.70787252,1822.74091392,133,미지정,1
303156,1117000000000002313,원효로1가 12-5도,도,국유지,74.05630647018552,126.96865964355413,37.540920762119185,87.37136353,110.23511233,228.47964883,298.01083769,1781.93004105,133,미지정,1
303157,1117000000000002314,원효로1가 12-8도,도,국유지,151.81045054935385,126.96843586189185,37.541003629687054,97.63250971,131.91178654,244.17786008,316.13349005,1785.49730766,133,미지정,1
303158,1117000000000002315,원효로1가 12-34도,도,국유지,34.54660522053018,126.968215,37.54084233333333,123.71021043,141.81712058,268.36081057,312.55088273,1811.33648966,133,미지정,1
303159,1117000000000002316,원효로1가 12-11도,도,국유지,148.05864172626752,126.96816753913679,37.54099723569292,118.86203186,152.45983324,267.11379782,328.8624387,1799.67020868,133,미지정,1
303160,1117000000000002317,원효로1가 47-15도,도,국유지,271.27891356218606,126.96820494884867,37.54032972878586,133.78099409,133.96521248,293.20080618,270.02736173,1858.78647826,133,미지정,1
303161,1117000000000002318,원효로1가 47-34도,도,국유지,117.60802096268162,126.96853242162913,37.54047804664998,105.03301245,105.21963918,259.9067732,263.39154461,1829.04059769,133,미지정,1
303162,1117000000000002319,원효로1가 46-1도,도,국유지,148.7808596054092,126.96874558148731,37.540319178050275,86.22122706,86.40394479,253.68823038,237.96390765,1833.54984958,133,미지정,1
303163,1117000000000002320,원효로1가 46-8도,도,국유지,5658.856816795887,126.96805008963574,37.54032215629738,147.49265347,147.67685378,305.5235397,279.23214731,1867.14987858,133,미지정,1
303164,1117000000000002321,원효로1가 133-52도,도,국유지,123.12500305229332,126.96688923992193,37.5377790708652,121.53853505,207.64730889,326.50353841,297.60809351,2159.48108439,133,미지정,1
303165,1117000000000002322,원효로1가 25-10도,도,국유지,317.35220038797706,126.96669978535918,37.53779690916724,104.22116283,223.84581546,337.41453158,289.14920385,2166.80129838,133,미지정,1
303166,1117000000000002323,원효로1가 133-13도,도,국유지,259.1135953621706,126.96670761730172,37.53812273881497,86.39799929,220.55292755,367.36751354,319.67174436,2136.07171292,133,미지정,1
303167,1117000000000002324,원효로1가 25-7도,도,국유지,2166.073448587209,126.9665858697311,37.53804006692736,80.51666893,231.41217239,365.40440176,306.23667913,2149.64391483,133,미지정,1
303168,1117000000000002325,원효로1가 128-32도,도,국유지,150.58489747345448,126.96813394244862,37.5382454179179,173.81623246,95.77855315,333.68416762,199.78175719,2058.01672077,133,미지정,1
303169,1117000000000002326,원효로1가 130-3도,도,국유지,232.75615908950567,126.96782442677932,37.53817609616424,174.79560792,122.1013967,332.69567263,228.12423663,2078.60713142,133,미지정,1
303170,1117000000000002327,원효로1가 127-1도,도,국유지,275.87574511021376,126.96892390130792,37.53852474042207,202.69847567,52.81159658,358.27521151,126.36048472,1808.35601035,133,미지정,1
303171,1117000000000002328,원효로1가 128-31도,도,국유지,34.69489507935941,126.9679697701442,37.53829048581661,182.41970857,110.94114325,341.68353823,213.17227959,2061.11387307,133,미지정,1
303172,1117000000000002329,원효로1가 129-46도,도,국유지,63.00864089280367,126.96756094732883,37.53864803009781,158.74299722,157.1848014,389.56392441,246.62114807,2046.23837546,133,미지정,1
303173,1117000000000002330,원효로1가 127-3도,도,국유지,122.46129978634417,126.96853706199686,37.53877233832618,208.17584783,94.69040182,386.86113104,161.45596877,1989.54585997,133,미지정,1
303174,1117000000000002331,원효로1가 120-30도,도,국유지,171.22685991227627,126.96919298137222,37.538736497909035,189.90260648,70.20511046,382.80049123,103.47130537,1776.00960035,133,미지정,1
