parcel_id,pnu,jibun,land_use_code,ownership_type,area,lng,lat,dist_to_nosmoking_zone,dist_to_school,dist_to_childcare_center,complaint_count,building_use,target_label
390688,1117000000000005033,한남동 653-46도,도,국유지,3425.4719566319836,127.00215969863127,37.53292035711897,214.16252338,518.16611066,232.98626396,180,미지정,0
390689,1117000000000005034,한남동 638-10도,도,국유지,3248.7719032826135,127.0031726120138,37.5335031288582,106.47789288,667.98542343,249.43237379,180,미지정,0
390690,1117000000000005035,한남동 657-20 도,도,국유지,9211.994751950726,127.00365809340477,37.53429419051231,19.49284213,571.19588784,308.16675198,180,미지정,0
390691,1117000000000005036,한남동 730-5 도,도,국유지,342.73892076150514,127.00359632869213,37.5376934945598,176.52883106,243.70294095,381.12490476,180,미지정,1
390692,1117000000000005037,한남동 719-4도,도,국유지,870.8097368627787,127.00493490540212,37.53705531604974,289.64006868,245.499382,289.58773746,180,미지정,0
390693,1117000000000005038,한남동 717-6 도,도,국유지,114.06792855076492,127.00499689942814,37.53664927627525,252.97098452,288.39952933,252.9370479,180,미지정,0
390694,1117000000000005039,한남동 670-12도,도,국유지,181.74840204085922,127.00274018111818,37.534209052741424,100.8812987,609.14684988,203.6549505,180,미지정,0
390695,1117000000000005040,한남동 719-5 도,도,국유지,488.6749551873654,127.00478471513021,37.53696219153577,308.19831835,258.91702386,290.79296404,180,미지정,0
390696,1117000000000005041,한남동 660-4 도,도,국유지,96.43441858515143,127.00209421375651,37.53364838924775,172.58071166,524.60897482,173.76144185,180,미지정,1
390697,1117000000000005042,한남동 761-4도,도,국유지,122.76389933470637,127.00182353617802,37.53362457141716,195.64840053,500.71578896,156.30716048,180,미지정,0
390698,1117000000000005043,한남동 653-2 도,도,국유지,127.36522166593932,127.00365183435386,37.53329389462267,111.34780552,678.05423111,206.98207094,180,미지정,0
390699,1117000000000005044,한남동 761-10도,도,국유지,215.03097340941895,127.00361789060219,37.53303333164537,140.3537281,706.80220617,184.13554532,180,미지정,0
390700,1117000000000005045,한남동 719-7도,도,국유지,20.29534825310111,127.00496466666667,37.53728533333334,307.96052557,220.10977126,307.89724258,180,미지정,1
390701,1117000000000005046,한남동 719-18도,도,국유지,306.35254792356864,127.0048369959122,37.537367826465164,322.0747584,214.5368458,322.01345284,180,미지정,0
390702,1117000000000005047,한남동 721-1도,도,국유지,579.9283862709999,127.0047053584487,37.537272256433894,339.96787591,228.38904636,321.0728634,180,미지정,0
390703,1117000000000005048,한남동 653-49도,도,국유지,525.3180571803823,127.0034236758045,37.532605652212894,190.21217069,757.05767482,160.50016052,180,미지정,0
390704,1117000000000005049,한남동 719-17도,도,국유지,76.66405793651938,127.00484928993664,37.53748134787708,289.56165433,202.25373995,331.45314468,180,미지정,0
390705,1117000000000005050,한남동 722-41 도,도,국유지,14.208681433927268,127.00443681302497,37.537419525831325,255.05341439,223.01012829,348.97504954,180,미지정,0
390706,1117000000000005051,한남동 722-39 도,도,국유지,16.685506594367325,127.00440069135804,37.537424641975306,251.81338509,223.99732696,351.52380498,180,미지정,0
390707,1117000000000005052,한남동 726-457 도,도,국유지,549.4451647000387,127.00446149092194,37.53873469286844,273.78201254,113.15262795,467.2356832,180,미지정,0
390708,1117000000000005053,한남동 644-6도,도,국유지,48.534274680539966,127.00410179636177,37.53266396789624,180.53973667,737.73281241,126.54790363,180,미지정,1
390709,1117000000000005054,한남동 636-4도,도,국유지,851.5835688533261,127.00525745622119,37.5333259476075,161.54720511,652.99930541,187.47827765,180,미지정,0
390710,1117000000000005055,한남동 772-18도,도,국유지,88.27827319316566,127.00435253919663,37.53741104992869,247.99128026,227.35847444,353.26733328,180,미지정,0
390711,1117000000000005056,한남동 638-2도,도,국유지,693.1588575183414,127.0046786136711,37.53336937604491,123.45427182,652.56835143,188.50598755,180,미지정,0
390712,1117000000000005057,한남동 644-20도,도,국유지,322.10088940674905,127.00438406134805,37.53285165852989,164.80728054,713.06912981,136.05614513,180,미지정,0
390713,1117000000000005058,한남동 642-33 도,도,국유지,21.73378600552678,127.00468297314377,37.53255944707741,203.87124877,741.80240832,98.908296,180,미지정,0
390714,1117000000000005059,한남동 712-12도,도,국유지,98.0735961701721,127.00631585197038,37.53679111282256,202.36036327,275.11493565,202.24446581,180,미지정,0
390715,1117000000000005060,한남동 712-7도,도,국유지,272.51188171247486,127.00635916916838,37.53704545224553,228.19563211,248.73849771,228.07143896,180,미지정,0
390716,1117000000000005061,한남동 723-55도,도,국유지,16.332351492717862,127.00621446426425,37.537358497897884,265.11780727,211.85101966,264.99522748,180,미지정,1
390717,1117000000000005062,한남동 713-4도,도,국유지,155.44727607211098,127.00615443833745,37.537289039660514,259.30645427,218.05409771,259.18801757,180,미지정,0
390718,1117000000000005063,한남동 716-6 도,도,국유지,514.5958072114736,127.00522032852966,37.53696571577074,266.04349918,250.57362119,265.98240089,180,미지정,0
390719,1117000000000005064,한남동 717-2도,도,국유지,2700.7305027999682,127.00530694162775,37.536552913543645,226.11774269,295.27662003,226.07442856,180,미지정,0
390720,1117000000000005065,한남동 707-23 도,도,국유지,225.51743195578456,127.0056619745614,37.53644103317385,196.13949425,306.61784201,196.08263711,180,미지정,0
390721,1117000000000005066,한남동 716-4도,도,국유지,16.48951405484695,127.00547659369425,37.536520579813605,213.42000575,297.93317586,213.36933041,180,미지정,0
390722,1117000000000005067,한남동 718-1도,도,국유지,17.102611078880727,127.00515021307714,37.53652201711118,233.41328311,300.20555987,233.3799502,180,미지정,1
390723,1117000000000005068,한남동 717-12 도,도,국유지,434.35011143423617,127.00522293284702,37.53707817838955,275.90771709,238.17686924,275.84153334,180,미지정,0
390724,1117000000000005069,한남동 714-3 도,도,국유지,340.6966893626377,127.00530486958226,37.53701656069332,266.1266921,244.07468192,266.05926815,180,미지정,1
390725,1117000000000005070,한남동 714-2 도,도,국유지,212.19831328466535,127.00499962749718,37.53746601772024,322.47580994,199.94124459,322.40448758,180,미지정,0
390726,1117000000000005071,한남동 704-2 도,도,국유지,182.658391172532,127.00607085586672,37.535146275511764,87.46921571,452.19926461,87.55862341,180,미지정,1
390727,1117000000000005072,한남동 707-28 도,도,국유지,195.00043677911162,127.00565803842414,37.53638762122509,191.78550202,312.53890142,191.7324534,180,미지정,1
390728,1117000000000005073,한남동 707-68 도,도,국유지,31.831519925035536,127.005854511094,37.53616877488444,162.03756917,337.54262839,161.98720764,180,미지정,0
390729,1117000000000005074,한남동 710-2 도,도,국유지,741.2586651481688,127.00568623170695,37.536026150918836,161.27143682,352.69856157,161.2462015,180,미지정,0
390730,1117000000000005075,한남동 706-2도,도,국유지,378.9829416871071,127.00581162103387,37.535855657969776,140.61481032,372.01284774,140.59886866,180,미지정,0
390731,1117000000000005076,한남동 707-42 도,도,국유지,856.7381391497329,127.00616891929438,37.53575064640821,109.17449829,386.49211979,109.14022705,180,미지정,0
390732,1117000000000005077,한남동 707-16 도,도,국유지,133.8995181452483,127.00629281897436,37.53547410260073,81.22594067,418.40722553,81.22555902,180,미지정,0
390733,1117000000000005078,한남동 705-1도,도,국유지,981.1389983585104,127.00594239630271,37.53558915999047,114.24742392,402.26335901,114.2581638,180,미지정,0
